Covidence #,Study ID,Title,Reviewer Name,Study DOI,Year published ,Full title,Study setting ,Disease type (choose all that apply),Model type,"""Other"" details",Stochasticity in model ,Scientific problem being solved,How many parameters were calibrated?,External beliefs or evidence,Choice of parameters to calibrate ,What justification was provided for choice of parameters to calibrate?,"""Other"" details.",Type of data used for defining calibration targets (select all that apply),"""Other"" details ",How many calibration targets were used for estimation?,Resolution of data  used for defining calibration targets,Number of steps: single or sequential? ,Name of calibration algorithm ,"""Other"" details ",Is calibration implementation (code) available in an open-access repository? ,What programming language was used for calibration?,Do authors list any programming packages used for calibration?,Goodness-of-fit (GOF) measure employed within calibration algorithm,"If ""Not clear"", paste the relevant text here. ","""Other"" details",Nature of calibration results,"""Other"" details",How are calibration results reported? ,"""Other"" details.",How is uncertainty in calibration outputs reported? ,"""Other"" details.", What is the size of the calibration output?
1227,Grant 2020,Is modelling complexity always needed? Insights from modelling PrEP introduction in South Africa.,Consensus,https://doi.org/10.1093/pubmed/fdz178,2019,Is modelling complexity always needed? Insights from modelling PrEP introduction in South Africa,South Africa,HIV,Compartmental ,"",Not reported,Evaluate interventions; Assess impact of model assumptions,Multiple,"",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution)","",Multiple ,"Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Markov Chain Monte Carlo,Monte Carlo methods with Latin hypercube sampling,Not reported ,R,Yes,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",200
1197,Kasaie 2018,Economic and epidemiologic impact of guidelines for early ART initiation irrespective of CD4 count in Spain.,Consensus,https://doi.org/10.1371/journal.pone.0206755,2018,Economic and epidemiologic impact of guidelines for early ART initiation irrespective of CD4 count in Spain,Spain,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Incidence ; Prevalence; Other ,Mortality,Multiple ,"Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other ,Bayesian melding,Not reported ,Not reported,No,Data likelihood ,"","",Distribution estimate (a distribution function which generates parameter values),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1,000,000"
1185,Cai 2021,"Modelling the effects of the contaminated environments on tuberculosis in Jiangsu, China.",Consensus,https://doi.org/10.1016/j.jtbi.2020.110453,2020,"Modelling the effects of the contaminated environments on tuberculosis in Jiangsu, China",China,TB,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ",Not reported,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Not reported,Not reported ,"",Incidence ,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Maximum likelihood estimation,hidden Markov model ,Not reported ,R,No,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
1169,Crawford 2020,Transmission Modeling with Regression Adjustment for Analyzing Household-based Studies of Infectious Disease: Application to Tuberculosis,Consensus,https://doi.org/10.1097/EDE.0000000000001143,2019,Transmission Modeling with Regression Adjustment for Analyzing Household-based Studies of Infectious Disease: Application to Tuberculosis,Peru,TB,Not reported,"",Stochastic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Assess impact of model assumptions",Multiple,Not reported,Subset of parameters,Parameters are uncertain.,"",Incidence ,"",Single ,Not reported ,Not reported,Maximum likelihood estimation,"",Not reported ,Not reported,No,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1
1148,Challenger 2021,Predicting the public health impact of a malaria transmission-blocking vaccine.,Consensus,https://doi.org/10.1038/s41467-021-21775-3 ,2021,Predicting the public health impact of a malaria transmission-blocking vaccine,Burkina Faso,Malaria,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"",Incidence ; Prevalence,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Markov Chain Monte Carlo,"",Link reported and accessible,R,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Distribution estimate (a distribution function which generates parameter values),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
1140,Han 2021,Assessing the impacts of short-course multidrug-resistant tuberculosis treatment in the Southeast Asia Region using a mathematical modeling approach.,Consensus,https://doi.org/10.1371/journal.pone.0248846,2021,Assessing the impacts of short-course multidrug-resistant tuberculosis treatment in the Southeast Asia Region using a mathematical modeling approach,Southeast Asia,TB,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Incidence ; Other ,MDR-TB percentage among new TB cases,Multiple ,"Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Markov Chain Monte Carlo,"",Not reported ,R,Yes,Not reported,"","",Distribution estimate (a distribution function which generates parameter values),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","380,000"
1099,Estill 2018,How to achieve the global 90-90-90 target by 2020 in sub-Saharan Africa? A mathematical modelling study.,Consensus,10.1111/tmi.13145,2018,How to achieve the global 90-90-90 target by 2020 in sub-Saharan Africa? A mathematical modelling study,sub-Saharan Africa,HIV,Not reported,"",Not reported,Evaluate interventions; Predict disease trends ,Single ,Not reported,Subset of parameters,Parameters are relevant to question of interest.,"","Treatment and treatment outcomes (e.g., mortality, recovery)","",Single ,"Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Not reported,"",Not reported ,Other ,No,Not reported,"","",Not reported ,"",Numerical: e.g. as value(s).,"",Uncertainty in calibration outputs is not reported.,"",Not reported
1047,DeAnda 2023,"Cost-effectiveness of internet-based HIV screening among gay, bisexual and other men who have sex with men (GBMSM) in Metro Vancouver, Canada.",Consensus,https://doi.org/10.1371/journal.pone.0294628,2023,"Cost-effectiveness of internet-based HIV screening among gay, bisexual and other men
who have sex with men (GBMSM) in Metro Vancouver, Canada",Canada,HIV,Compartmental ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Incidence ,"",Single ,Not reported ,Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Markov Chain Monte Carlo,"",Not reported ,Python,No,Not reported,"","",Sample estimate (multiple parameter sets),"",Numerical: e.g. as value(s).,"",Uncertainty in calibration outputs is not reported.,"",Not reported
1015,Chemaitelly 2022,HIV incidence and impact of interventions among female sex workers and their clients in the Middle East and north Africa: a modelling study,Consensus,https://doi.org/10.1016/S2352-3018(22)00100-X,2022,HIV incidence and impact of interventions among female sex workers and their clients in the Middle East and north Africa: a modelling study,"Algeria, Bahrain, Djibouti, Iran, Libya, Morocco, Pakistan, Somalia, South Sudan, Sudan, Tunisia, and Yemen",HIV,Individual-based ,"",Stochastic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,Not reported,Subset of parameters,Parameters are relevant to question of interest.; Parameters are uncertain.,"",Prevalence,"",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Least squares estimation,"",Link reported and accessible,Matlab,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",500
1003,Cambiano 2018,Cost-effectiveness of pre-exposure prophylaxis for HIV prevention in men who have sex with men in the UK: a modelling study and health economic evaluation.,Consensus,10.1016/S1473-3099(17)30540-6,2018,Cost-effectiveness of pre-exposure prophylaxis for HIV prevention in men who have sex with men in the UK: a modelling study and health economic evaluation,UK,HIV,Individual-based ,"",Stochastic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Demographic (e.g., population size, sex and age distribution); Incidence ; Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,Not reported ,"Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Approximate Bayesian Computation,"",Not reported ,Not reported,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Distribution estimate (a distribution function which generates parameter values),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","100,000"
994,Dale 2018,Estimating epidemiological parameters of a stochastic differential model of HIV dynamics using hierarchical Bayesian statistics.,Consensus,https://doi.org/10.1371/journal.pone.0200126,2018,Estimating epidemiological parameters of a stochastic differential model of HIV dynamics using hierarchical Bayesian statistics,Not reported,HIV,Other, a system of stochastic differential equations (SDEs),Stochastic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ",Single ,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.,"",Notifications / diagnoses,"",Single ,"Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Markov Chain Monte Carlo,"",Link reported and accessible,R,Yes,Data likelihood ,"","",Distribution estimate (a distribution function which generates parameter values),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","100,000"
976,Bellan 2018,Couple serostatus patterns in sub-Saharan Africa illuminate the relative roles of transmission rates and sexual network characteristics in HIV epidemiology.,Consensus,https://doi.org/10.1038/s41598-018-24249-7,2018,Couple serostatus patterns in sub-Saharan Africa illuminate the relative roles of transmission rates and sexual network characteristics in HIV epidemiology,"Burundi, Congo, DRC, Ethiopia, Gabon, Kenya, Lesotho, Malawi, Mozambique, Rwanda, Swaziland, Tanzania, Uganda, Cote d’Ivoire, Burkina Faso, Cameroon, Ghana, Guinea, Libera, Mali, Niger, Senegal, Sierra Leone, Zambia, Zimbabwe",HIV,Individual-based ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,Not reported,Subset of parameters,Not reported ,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Markov Chain Monte Carlo,"",Link reported and accessible,R,No,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.","",Not reported
958,Cambiano 2023,The effect of combination prevention strategies on HIV incidence among gay and bisexual men who have sex with men in the UK: a model-based analysis.,Consensus,10.1016/S2352-3018(23)00204-7,2023,"The effect of combination prevention strategies on HIV 
incidence among gay and bisexual men who have sex with 
men in the UK: a model-based analysis",UK,HIV,Individual-based ,"",Stochastic model ,Evaluate interventions; Predict disease trends ,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Incidence ; Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery); Other ",Metrics of disease progression (i.e. CD4 counts),Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Approximate Bayesian Computation,"",Link reported and accessible,Other ,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Sample estimate (multiple parameter sets),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","300,000"
910,Jin 2021,The transmission of drug-resistant strains of HIV in heterosexual populations based on genetic sequences.,Consensus,https://doi.org/10.1371/journal.pone.0259023,2021,The transmission of drug-resistant strains of HIV in heterosexual populations based on genetic sequences,China,HIV,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,Not reported,Subset of parameters,Parameters are uncertain.,"",Other ,tranmission parameter inferred from genetic data,Multiple ,"Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Markov Chain Monte Carlo,"",Not reported ,Not reported,No,Not reported,"","",Not reported ,"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",5000
894,Foss 2020,Using data from 'visible' populations to estimate the size and importance of 'hidden' populations in an epidemic: A modelling technique.,Consensus,https://doi.org/10.1016/j.idm.2020.09.007,2020,Using data from ‘visible’ populations to estimate the size and importance of ‘hidden’ populations in an epidemic: A modelling technique,India,HIV,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Prevalence,"",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other: Latin Hypercube Sampling,"",Not reported ,Not reported,No,Other ,"",model runs were classified as model fits if the HIV and HSV-2 prevalence in all three MSM/TGW subgroups were within the 95% confidence intervals (CIs) for the available IBBA data,Sample estimate (multiple parameter sets),"",Numerical: e.g. as value(s).,"","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.","",283
883,Bórquez 2019,"The impact and cost-effectiveness of combined HIV prevention scenarios among transgender women sex-workers in Lima, Peru: a mathematical modelling study.",Consensus,https://doi.org/10.1016/S2468-2667(18)30236-6,2019,"The impact and cost-effectiveness of combined HIV prevention scenarios among transgender women sex-workers in Lima, Peru: a mathematical modelling study",Peru,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.,"",Prevalence,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Maximum likelihood estimation,"used Latin hypercube sampling to generate samples, then kept those parameter sets that generated results within specified bounds",Not reported ,Matlab,No,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","100,000"
868,Doyle 2023,Population-level effectiveness of pre-exposure prophylaxis for HIV prevention among men who have sex with men in Montréal (Canada): a modelling study of  surveillance and survey data.,Consensus, https://doi.org/10.1002/jia2.26194,2023,Population-level effectiveness of pre-exposure prophylaxis forHIV prevention among men who have sex with men in Montréal (Canada): a modelling study of surveillance and survey data,Canada,HIV,Individual-based ,"",Stochastic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",All parameters,Not reported ,"","Climate (e.g., temperature, humidity, rainfall); Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery); Other ",CD4 cell count at diagnosis by year,Multiple ,"Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Approximate Bayesian Computation,"",Not reported ,R; C++,Yes,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",100
861,Andersson 2019,Challenges in modelling the proportion of undiagnosed HIV infections in Sweden.,Consensus,https://doi.org/10.2807/1560-7917.ES.2019.24.14.1800203,2019,Challenges in modelling the proportion of undiagnosed HIV infections in Sweden,Sweden,HIV,Individual-based ,"",Stochastic model ,Assess impact of model assumptions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery); Other ",Mortality,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Approximate Bayesian Computation,"",Not reported ,Not reported,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",107
854,Akullian 2020,The effect of 90-90-90 on HIV-1 incidence and mortality in eSwatini: a mathematical modelling study.,Consensus,10.1016/S2352-3018(19)30436-9,2020,The effect of 90-90-90 on HIV-1 incidence and mortality in eSwatini: a mathematical modelling study,eSwatini ,HIV,Individual-based ,"",Stochastic model ,Evaluate interventions; Predict disease trends ,Multiple,Not reported,Subset of parameters,Parameters are relevant to question of interest.,"","Demographic (e.g., population size, sex and age distribution); Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other ,"parallel simultaneous perturbation 
optimisation (PSPO)",Not reported ,R,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","23,100"
845,Hsieh 2020,Evaluation of 6-Month Versus Continuous Isoniazid Preventive Therapy for Mycobacterium tuberculosis in Adults Living With HIV/AIDS in Malawi,Consensus,https://doi.org/10.1097/qai.0000000000002497,2020,Evaluation of 6-Month Versus Continuous Isoniazid Preventive Therapy for Mycobacterium tuberculosis in Adults Living With HIV/AIDS in Malawi,Malawi,HIV; TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Other ,Nelder–Mead algorithm (NM) + Incremental mixture importance sampling (IMIS),Not reported ,R,No,Data likelihood ,"","",Other ,"Point estimate for NM, Sample estimate for IMIS","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1 for NM, 300 for IMIS"
842,Awad 2018,Temporal evolution of HIV sero-discordancy patterns among stable couples in sub-Saharan Africa.,Consensus,10.1371/journal.pone.0196613,2018,"Temporal evolution of HIV sero-discordancy
patterns among stable couples in sub-
Saharan Africa","Kenya, Lesotho, Mali, Niger, Tanzania, and Zimbabwe",HIV,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Demographic (e.g., population size, sex and age distribution); Prevalence","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Approximate Bayesian Computation,Not reported,Not reported ,Matlab,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",Not reported
805,Cepeda 2018,Potential impact of implementing and scaling up harm reduction and antiretroviral therapy on HIV prevalence and mortality and overdose deaths among people who  inject drugs in two Russian cities: a modelling study.,Consensus,https://doi.org/10.1016%2FS2352-3018(18)30168-1,2018,Modelling the potential impact of implementing and scaling-up harm reduction and antiretroviral therapy on HIV and overdose deaths among people who inject drugs in two Russian cities,Russia,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution); Incidence ; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery); Other ","proportion of PWID high-risk, proportion of incident HIV infections due to sexual risk",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Maximum likelihood estimation,"global optimisation solver (fmincon with multistart in MATLAB) by minimising the sum log-
likelihood of the calibration points",Not reported ,Matlab,Yes,Other: Data likelihood,"","",Sample estimate (multiple parameter sets),"",Numerical: e.g. as value(s).,"","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.","",500
789,Bingham 2021,Estimated Lifetime HIV-Related Medical Costs in the United States.,Consensus,10.1097/OLQ.0000000000001366,2021,Estimated Lifetime HIV Related Medical Costs in the United States,United States,HIV,Individual-based ,"",Not reported,Evaluate interventions,Multiple,Not reported,Subset of parameters,Not reported ,"",Incidence ; Prevalence,"",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Not reported,"",Not reported ,Not reported,No,Not reported,"","",Not reported ,"",Numerical: e.g. as value(s).; Calibration results are not reported. ,"",Uncertainty in calibration outputs is not reported.,"",Not reported
733,Dodd 2023,Transmission modeling to infer tuberculosis incidence prevalence and mortality in settings with generalized HIV epidemics.,Consensus,https://doi.org/10.1038/s41467-023-37314-1,2023,Transmission modeling to infer tuberculosis incidence prevalence and mortality in settings with generalized HIV epidemics,"South Africa, Eswatini, Uganda, Zambia, Malawi, Zimbabwe, Mozambique, United Republic of Tanzania, Lesotho, Kenya, Ethiopia, Nigeria",HIV; TB,Compartmental ,"",Deterministic model ,Evaluate interventions; Predict disease trends ,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.; Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution); Incidence ; Notifications / diagnoses; Prevalence","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Markov Chain Monte Carlo,"",Link reported but inaccessible,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","2,000"
721,Johnson 2020,"Steep Declines in Pediatric AIDS Mortality in South Africa, Despite Poor Progress Toward Pediatric Diagnosis and Treatment Targets",Consensus,https://doi.org/10.1097/INF.0000000000002680,2020,"Steep Declines in Pediatric AIDS Mortality in South Africa, Despite Poor Progress Toward Pediatric Diagnosis and Treatment Targets",South Africa,HIV,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution); Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)", routine antibody testing data,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other ,Incremental Mixture Importance Sampling,Not reported ,C++,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1000
691,McCreesh 2022,"Estimating the contribution of transmission in primary healthcare clinics to community-wide TB disease incidence, and the impact of infection prevention and  control interventions, in KwaZulu-Natal, South Africa.",Consensus,https://doi.org/10.1136/bmjgh-2021-007136,2022,"Estimating the contribution of transmission in primary healthcare clinics to community-wide TB disease incidence, and the impact of infection prevention and control interventions, in KwaZulu-Natal, South Africa",South Africa,TB,Individual-based ,"",Stochastic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,Not reported,Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Incidence ; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Manual (hand-tuning),"",Not reported ,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
