"Covidence..","Study.ID","Title","Reviewer.Name","Study.DOI","Year.published","Full.title","Study.setting","Disease.type..choose.all.that.apply.","Model.type","X.Other..details","Stochasticity.in.model","Scientific.problem.being.solved","How.many.parameters.were.calibrated.","External.beliefs.or.evidence","Choice.of.parameters.to.calibrate","What.justification.was.provided.for.choice.of.parameters.to.calibrate.","X.Other..details.","Type.of.data.used.for.defining.calibration.targets..select.all.that.apply.","X.Other..details..1","How.many.calibration.targets.were.used.for.estimation.","Resolution.of.data..used.for.defining.calibration.targets","Number.of.steps..single.or.sequential.","Name.of.calibration.algorithm","X.Other..details..2","Is.calibration.implementation..code..available.in.an.open.access.repository.","What.programming.language.was.used.for.calibration.","Do.authors.list.any.programming.packages.used.for.calibration.","Goodness.of.fit..GOF..measure.employed.within.calibration.algorithm","If..Not.clear...paste.the.relevant.text.here..","X.Other..details.1","Nature.of.calibration.results","X.Other..details.2","How.are.calibration.results.reported.","X.Other..details..3","How.is.uncertainty.in.calibration.outputs.reported.","X.Other..details..4","What.is.the.size.of.the.calibration.output."
586,"Beacroft 2019","What impact could DMPA use have had in South Africa and how might its continued use affect the future of the HIV epidemic?","Consensus","https://doi.org/10.1002/jia2.25414",2019,"What impact could DMPA use have had in South Africa and how might its continued use affect the future of the HIV epidemic?","South Africa","HIV","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Not reported","Subset of parameters","Not reported ","","Demographic (e.g., population size, sex and age distribution); Incidence ; Prevalence; Other ","contraceptive use","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Not reported","Not reported","","Not reported ","Not reported","No","Not reported","","","Sample estimate (multiple parameter sets)","","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","100"
574,"Estill 2018","The Effect of Monitoring Viral Load and Tracing Patients Lost to Follow-up on the Course of the HIV Epidemic in Malawi: A Mathematical Model.","Consensus","https://doi.org/10.1093/ofid/ofy092",2018,"The Effect of Monitoring Viral Load and Tracing Patients Lost to Follow-up on the Course of the HIV Epidemic in Malawi: A Mathematical Model","Malawi","HIV","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Demographic (e.g., population size, sex and age distribution); Treatment and treatment outcomes (e.g., mortality, recovery)","","Multiple ","Not reported ","Not reported","Not reported","","Not reported ","Not reported","No","Not reported","","","Not reported ","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","Not reported"
564,"Kaisara 2023","Modelling Botswana's HIV/AIDS response and treatment policy changes: Insights from a cascade of mathematical models.","Consensus","https://doi.org/10.3934/mbe.2023052",2023,"Modelling Botswana's HIV/AIDS response and treatment policy changes: Insights from a cascade of mathematical models.","Botswana","HIV","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions; Predict disease trends ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Prevalence","","Single ","Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Least squares estimation","","Not reported ","Matlab","Yes","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","1"
546,"LeVu 2018","Comparison of cluster-based and source-attribution methods for estimating transmission risk using large HIV sequence databases.","Consensus","https://doi.org/10.1016/j.epidem.2017.10.001",2018,"Comparison of cluster-based and source-attribution methods for estimating transmission risk using large HIV sequence databases","United Kingdom","HIV","Compartmental ","","Not reported","Assess impact of model assumptions","Multiple","Not reported","Subset of parameters","Not reported ","","Notifications / diagnoses; Prevalence","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Not reported","","Link reported and accessible","R","No","Not reported","","","Not reported ","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","100"
544,"Jijón 2021","Can HIV epidemics among MSM be eliminated through participation in preexposure prophylaxis rollouts?","Consensus","https://doi.org/10.1097/QAD.0000000000003012 
",2021,"Can HIV epidemics among men who have sex with men be eliminated through participation in PrEP rollouts?","France","HIV","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are relevant to question of interest.; Parameters are uncertain.","","Climate (e.g., temperature, humidity, rainfall); Demographic (e.g., population size, sex and age distribution); Incidence ; Notifications / diagnoses; Prevalence","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Other ","Sampling importance resampling","Not reported ","Not reported","No","Not reported","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","500"
529,"Mukandavire 2018","Estimating the contribution of key populations towards the spread of HIV in Dakar, Senegal.","Consensus","https://doi.org/10.1002/jia2.25126",2018,"Estimating the contribution of key populations towards the spread of HIV in Dakar, Senegal","Senegal","HIV","Not reported","","Not reported","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Demographic (e.g., population size, sex and age distribution); Prevalence","","Multiple ","Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Other ","Any runs producing HIV prevalence projections that agreed with early IBBA HIV prevalence data for FSW (1990 or 1995) and clients (1999) and recent HIV prevalence data for young MSM from 2014 to 2016 were selected as a model fit.","Not reported ","Not reported","No","Other ","","Any runs producing HIV prevalence projections that agreed with early IBBA HIV prevalence data for FSW (1990 or 1995) and clients (1999) and recent HIV prevalence data for young MSM from 2014 to 2016 were selected as a model fit.","Not reported ","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","10000"
504,"Cepeda 2020","Modelling integrated antiretroviral treatment and harm reduction services on HIV and overdose among people who inject drugs in Tijuana, Mexico.","Consensus"," https://doi.org/10.1002/jia2.25493",2020,"Modelling integrated antiretroviral treatment and harm reduction services on HIV and overdose among people who inject drugs in Tijuana, Mexico","Mexico","HIV","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Demographic (e.g., population size, sex and age distribution); Incidence ; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Maximum likelihood estimation","","Not reported ","Not reported","No","Data likelihood ","","","Distribution estimate (a distribution function which generates parameter values)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","120,000"
500,"Mulberry 2019","HIV control strategies for sex worker-client contact networks.","Consensus","http://dx.doi.org/10.1098/rsif.2019.0497",2019,"HIV control strategies for sex worker-client contact networks","South Africa","HIV","Individual-based ","","Stochastic model ","Evaluate interventions","Single ","Not reported","Subset of parameters","Not reported ","","Prevalence","","Multiple ","Not reported ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Manual (hand-tuning)","","Link reported and accessible","Not reported","No","Not clear","We find that taking β = 0.6 results in an equilibrium disease prevalence of 69% which closely matches the recorded 70% prevalence among the Carletonville FSWs","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","1"
483,"Luo 2018","Development of an Agent-Based Model to Investigate the Impact of HIV Self-Testing Programs on Men Who Have Sex With Men in Atlanta and Seattle.","Consensus","https://doi.org/10.2196/publichealth.9357",2018,"Development of an Agent-Based Model to Investigate the Impact of HIV Self-Testing Programs on Men Who Have Sex With Men in Atlanta and Seattle","United States of America","HIV","Individual-based ","","Stochastic model ","Evaluate interventions","Multiple","Not reported","Subset of parameters","Not reported ","","Prevalence","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Manual (hand-tuning)","","Not reported ","R","Yes","Not clear","we identified the value that resulted in an average equilibrium HIV prevalence (from 100 simulations for each value for 50 years each) closest to the target estimates.","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1"
482,"Doyle 2022","Measuring progress towards reaching zero new HIV acquisitions among key populations in Québec (Canada) using routine surveillance data: a mathematical  modelling study.","Consensus","https://doi.org/10.1002/jia2.25994",2022,"Measuring progress towards reaching zero new HIV acquisitions among key populations in Québec (Canada) using routine surveillance data: a mathematical modelling study","Canada","HIV","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are relevant to question of interest.","","Notifications / diagnoses; Prevalence; Other ","CD4 cell count at diagnosis","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Other ","Broyden–Fletcher–Goldfarb–Shanno algorithm + Nelder–Mead algorithm","Not reported ","R; C++","No","Data likelihood ","","","Distribution estimate (a distribution function which generates parameter values)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","50,000"
479,"Apenteng 2022","Analysing the impact of migration on HIV/AIDS cases using epidemiological modelling to guide policy makers","Consensus","https://doi.org/10.1016/j.idm.2022.01.002",2022,"Analysing the impact of migration on HIV/AIDS cases using
epidemiological modelling to guide policy makers","Malaysia","HIV","Compartmental ","","Not reported","Understand disease mechanisms (e.g., through inference on a parameter) ","Multiple","Not reported","All parameters","Parameters are uncertain.","","Incidence ","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Least squares estimation","","Not reported ","Not reported","No","Not reported","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","Not reported"
462,"Flountzi 2022","Modeling the impact of interventions during an outbreak of HIV infection among people who inject drugs in 2012–2013 in Athens, Greece.","Consensus","https://doi.org/10.1016/j.drugalcdep.2022.109396",2022,"Modeling the impact of interventions during an outbreak of HIV infection among people who inject drugs in 2012–2013 in Athens, Greece. ","Greece","HIV","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Climate (e.g., temperature, humidity, rainfall); Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","","Multiple ","Not reported ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Least squares estimation","","Link reported and accessible","Matlab","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1000"
450,"Reitsema 2019","Cost-effectiveness of increased HIV testing among MSM in The Netherlands","Consensus","https://doi.org/10.1097/QAD.0000000000002199",2019,"Cost-effectiveness of increased HIV testing among MSM in The Netherlands","Netherlands","HIV","Individual-based ","","Stochastic model ","Evaluate interventions","Multiple","Not reported","Subset of parameters","Parameters are uncertain.","","Notifications / diagnoses","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Not reported","","Not reported ","Other ","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","100"
421,"Adams 2018","Potential drivers of HIV acquisition in African-American women related to mass incarceration: an agent-based modelling study.","Consensus","https://doi.org/10.1186/s12889-018-6304-x",2018,"Potential drivers of HIV acquisition in
African-American women related to mass
incarceration: an agent-based modelling
study","United States of America","HIV","Individual-based ","","Stochastic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Incidence ; Notifications / diagnoses; Prevalence","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Not reported","","Not reported ","Python","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Not reported ","","Calibration results are not reported. ",NA,"Uncertainty in calibration outputs is not reported.","","Not reported"
419,"Johnson 2018","Age bias in survey sampling and implications for estimating HIV prevalence in men who have sex with men: insights from mathematical modelling","Consensus","https://doi.org/10.1017/s0950268818000961",2018,"Age bias in survey sampling and implications for estimating HIV prevalence in men who have sex with men: insights from mathematical modelling","South Africa","HIV","Individual-based ","","Not reported","Understand disease mechanisms (e.g., through inference on a parameter) ; Assess impact of model assumptions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are relevant to question of interest.; Parameters are uncertain.","","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Prevalence","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Maximum likelihood estimation","","Not reported ","Not reported","No","Data likelihood ","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","100"
414,"Li 2018","A mathematical model of biomedical interventions for HIV prevention among men who have sex with men in China","Consensus","https://doi.org/10.1186/s12879-018-3516-8",2018,"A mathematical model of biomedical interventions for HIV prevention among men who have sex with men in China","China","HIV","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Prevalence","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Other ","simple search procedure","Not reported ","Matlab","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)",""," deviance criterion","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","400"
408,"Omondi 2019","A mathematical modelling study of HIV infection in two heterosexual age groups in Kenya","Consensus","https://doi.org/10.1016/j.idm.2019.04.003",2019,"A mathematical modelling study of HIV infection in two heterosexual age groups in Kenya","Kenya","HIV","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are relevant to question of interest.; Parameters are uncertain.","","Notifications / diagnoses","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Not reported ","R","Yes","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Not reported ","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.","","Not reported"
375,"Adamson 2019","Competing biomedical HIV prevention strategies: potential cost-effectiveness of HIV vaccines and PrEP in Seattle, WA.","Consensus","https://doi.org/10.1002/jia2.25373",2019,"Competing biomedical HIV prevention strategies: potential cost-effectiveness of HIV vaccines and PrEP in Seattle, WA","United States of America","HIV","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ","Other ","Monte Carlo filtering","Not reported ","R; C++","No","Not reported","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","100"
355,"Maheu-Giroux 2019","National HIV testing and diagnosis coverage in sub-Saharan Africa: a new modeling tool for estimating the 'first 90' from program and survey data.","Consensus","https://doi.org/10.1097/qad.0000000000002386",2019,"National HIV testing and diagnosis coverage in sub-Saharan Africa: a new modeling tool for estimating the ‘first 90’ from program and survey data","Côte d’Ivoire, Malawi, Mozambique","HIV","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are relevant to question of interest.; Parameters are uncertain.","","Other ","proportion of adults who self-report having ever been tested for HIV,  total number of HIV tests conducted each years, and number of HIV-positive tests","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Other ","Broyden-Fletcher-Goldfarb-Shanno algorithm","Link reported and accessible","R","No","Data likelihood ","","","Distribution estimate (a distribution function which generates parameter values)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","3000"
354,"Estill 2023","The spatial spread of HIV in Malawi: An individual-based mathematical model.","Consensus","10.1016/j.heliyon.2023.e21948",2023,"The spatial spread of HIV in Malawi: An individual-based mathematical model","Malawi","HIV","Individual-based ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Assess impact of model assumptions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Demographic (e.g., population size, sex and age distribution); Other ","migration rates","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ","Manual (hand-tuning)","","Link reported and accessible","Not reported","No","Not reported","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","1"
351,"Jo 2021","Model-based Cost-effectiveness of State-level Latent Tuberculosis Interventions in California, Florida, New York, and Texas.","Consensus","https://doi.org/10.1093/cid/ciaa857",2021,"Model-Based Cost-Effectiveness of State-level Latent  Tuberculosis Interventions in California, Florida, New York and Texas","United States of America","TB","Individual-based ","","Stochastic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Demographic (e.g., population size, sex and age distribution); Incidence ","","Multiple ","Modeled estimates  (e.g., WHO TB incidence estimates)","Not reported","Not reported","","Not reported ","Not reported","No","Other ","","We then reject simulations that result in a mean TB incidence of >5.2 per 100,000/year (2017 incidence in CA, i.e., no change) or in a mean TB incidence of <2.723 per 100,000/year (which is the mean incidence that would be expected under a 5% annual decline in incidence). ","Sample estimate (multiple parameter sets)","","Calibration results are not reported. ",NA,"Uncertainty in calibration outputs is not reported.","","Not reported"
342,"Mitchell 2020","Assessing the use of surveillance data to estimate the impact of prevention interventions on HIV incidence in cluster-randomized controlled trials.","Consensus","https://doi.org/doi:10.1016/j.epidem.2020.100423",2020,"Assessing the use of surveillance data to estimate the impact of prevention interventions on HIV incidence in cluster-randomized controlled trials","United States of America","HIV","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Demographic (e.g., population size, sex and age distribution); Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Not reported","","Not reported ","C++","No","Not reported","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","169"
329,"Apenteng 2020","The impact of implementing HIV prevention policies therapy and control strategy among HIV and AIDS incidence cases in Malaysia","Consensus","https://doi.org/10.1016/j.idm.2020.09.009",2020,"The impact of implementing HIV prevention policies therapy and control strategy among HIV and AIDS incidence cases in
Malaysia","Malaysia","HIV","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Not reported","All parameters","Not reported ","","Incidence ; Notifications / diagnoses","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Not reported ","R","Yes","Not reported","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","Not reported"
326,"Goyal 2021","Development of a Mathematical Model to Estimate the Cost-Effectiveness of HRSA's Ryan White HIV/AIDS Program.","Consensus","doi:10.1097/QAI.0000000000002546",2021,"Development of a Mathematical Model to Estimate the Cost-Effectiveness of HRSA's Ryan White HIV/AIDS Program","United States of America","HIV","Individual-based ","","Stochastic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Incidence ","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Not reported","","Not reported ","Not reported","No","Not reported","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).",NA,"Uncertainty in calibration outputs is not reported.","","Not reported"
325,"Balasubramanian 2022","Projected Impact of Expanded Long-Acting Injectable PrEP Use Among Men Who Have Sex With Men on Local HIV Epidemics.","Consensus","doi:10.1097/QAI.0000000000003029",2022,"PROJECTED IMPACT OF EXPANDED LONG-ACTING INJECTABLE PREP USE AMONG MEN WHO HAVE SEX WITH MEN ON LOCAL HIV EPIDEMICS","United States of America","HIV","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Not reported","Not reported ","","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery); Other ","fraction of population screened","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ","Markov Chain Monte Carlo","","Link reported and accessible","R","No","Data likelihood ","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.","","400,000"
305,"Mangal 2019","Estimating HIV incidence from surveillance data indicates a second wave of infections in Brazil.","Consensus","https://doi.org/10.1016/j.epidem.2019.02.002",2019,"Estimating HIV incidence from surveillance data indicates a second wave of infections in Brazil","Brazil","HIV","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery); Other ","CD4 counts and HIV/AIDS-related deaths","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Not reported","Markov Chain Monte Carlo","","Not reported ","R","No","Data likelihood ","","","Distribution estimate (a distribution function which generates parameter values)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1000"
